dT_C,corr
-4.0,0.5247646008121772
-3.9,0.5398656215792211
-3.8,0.5551865303142178
-3.7,0.5707103184036808
-3.6,0.586416800992447
-3.5,0.6022828501928357
-3.4,0.6182826860329012
-3.3,0.6343882122735852
-3.2,0.65056938122443
-3.1,0.6667945694769426
-3.0,0.683030945368814
-2.9,0.6992448092224666
-2.8,0.7154018890787402
-2.7,0.7314675777385772
-2.5999999999999996,0.7474071012532186
-2.5,0.7631856142574013
-2.4,0.7787682233149192
-2.3,0.7941199452853773
-2.2,0.809205613166589
-2.0999999999999996,0.8239897465028354
-2.0,0.8384364069353188
-1.9,0.8525090615646775
-1.7999999999999998,0.8661704773570014
-1.6999999999999997,0.8793826688150137
-1.5999999999999996,0.8921069186053318
-1.5,0.9043038869092291
-1.4,0.9159338201443301
-1.2999999999999998,0.9269568636451981
-1.1999999999999997,0.9373334762061252
-1.0999999999999996,0.9470249374467394
-1.0,0.9559939321734605
-0.8999999999999999,0.9642051897215244
-0.7999999999999998,0.971626151124466
-0.6999999999999997,0.9782276332941441
-0.5999999999999996,0.9839844575585729
-0.5,0.9888760101369208
-0.3999999999999999,0.9928867045174987
-0.2999999999999998,0.9960063201522387
-0.19999999999999973,0.9982301981109417
-0.09999999999999964,0.9995592819030851
0.0,0.9999999999998367
0.10000000000000053,0.999563995032718
0.20000000000000018,0.9982677125695157
0.2999999999999998,0.9961318692058172
0.40000000000000036,0.9931808250245672
0.5,0.9894418889957033
0.6000000000000005,0.9849445875228768
0.7000000000000002,0.9797199261735356
0.8000000000000007,0.9737996728701119
0.9000000000000004,0.9672156877869753
1.0,0.9599993212505301
1.1000000000000005,0.9521808964404673
1.2000000000000002,0.9437892889656324
1.3000000000000007,0.9348516107051693
1.4000000000000004,0.9253930008597373
1.5,0.9154365230723177
1.6000000000000005,0.9050031638155563
1.7000000000000002,0.8941119240197581
1.8000000000000007,0.8827799931242383
1.9000000000000004,0.8710229923608044
2.0,0.8588552721194076
2.1000000000000005,0.8462902467240814
2.2,0.833340748913716
2.3000000000000007,0.820019385856933
2.4000000000000004,0.8063388787326612
2.5,0.7923123688807188
2.6000000000000005,0.7779536753549778
2.7,0.7632774914394143
2.8000000000000007,0.7482995112947568
2.9000000000000004,0.7330364822891419
3.0,0.7175061835379624
3.1000000000000005,0.7017273364545173
3.2,0.6857194583372327
3.3000000000000007,0.669502674783482
3.4000000000000004,0.6530975105993988
3.5,0.636524681464564
3.6000000000000005,0.6198049095633666
3.7,0.6029587854569498
3.8000000000000007,0.5860066955091157
3.9000000000000004,0.5689688292106256
4.0,0.551865273948937
