bend_state,curvature_equiv_m-1,corr
-0.8,-0.4,0.30207371623495527
-0.78,-0.39,0.32161172844763775
-0.76,-0.38,0.3418554522591389
-0.74,-0.37,0.36276445242145494
-0.7200000000000001,-0.36000000000000004,0.3842926126074169
-0.7000000000000001,-0.35000000000000003,0.40638825425647274
-0.68,-0.34,0.4289943346020565
-0.66,-0.33,0.45204873013200786
-0.64,-0.32,0.4754846097515168
-0.6200000000000001,-0.31000000000000005,0.49923089909435386
-0.6000000000000001,-0.30000000000000004,0.5232128338215951
-0.5800000000000001,-0.29000000000000004,0.5473525955110307
-0.56,-0.28,0.5715700191216364
-0.54,-0.27,0.5957833563431354
-0.52,-0.26,0.6199100747933396
-0.5,-0.25,0.6438676694079144
-0.48000000000000004,-0.24000000000000002,0.6675744598577505
-0.46,-0.23,0.6909503467406908
-0.44000000000000006,-0.22000000000000003,0.7139174998331577
-0.42000000000000004,-0.21000000000000002,0.7364009539254889
-0.4,-0.2,0.7583290916282414
-0.38000000000000006,-0.19000000000000003,0.7796339978109837
-0.36000000000000004,-0.18000000000000002,0.8002516766886885
-0.34,-0.17,0.8201221295925624
-0.32000000000000006,-0.16000000000000003,0.8391892987053992
-0.30000000000000004,-0.15000000000000002,0.8574008890693332
-0.28,-0.14,0.8747080875971998
-0.26,-0.13,0.8910652033232198
-0.24,-0.12,0.9064292574867329
-0.22000000000000008,-0.11000000000000004,0.9207595551106738
-0.20000000000000007,-0.10000000000000003,0.9340172714405608
-0.18000000000000005,-0.09000000000000002,0.9461650869233124
-0.16000000000000003,-0.08000000000000002,0.9571669033249659
-0.14,-0.07,0.9669876711112442
-0.12,-0.06,0.975593354334656
-0.09999999999999998,-0.04999999999999999,0.982951053967124
-0.08000000000000007,-0.040000000000000036,0.9890293038753696
-0.06000000000000005,-0.030000000000000027,0.9937985454809034
-0.040000000000000036,-0.020000000000000018,0.9972317776783237
-0.020000000000000018,-0.010000000000000009,0.9993053680295404
0.0,0.0,0.9999999999998367
0.020000000000000018,0.010000000000000009,0.9993017196427553
0.039999999999999925,0.019999999999999962,0.9972030344613305
0.05999999999999994,0.02999999999999997,0.9937040081223997
0.07999999999999996,0.03999999999999998,0.988813288311299
0.09999999999999998,0.04999999999999999,0.9825490022807604
0.12,0.06,0.9749394563754471
0.14,0.07,0.9660235824590859
0.15999999999999992,0.07999999999999996,0.9558510857075273
0.17999999999999994,0.08999999999999997,0.9444822640683549
0.19999999999999996,0.09999999999999998,0.9319874886773009
0.21999999999999997,0.10999999999999999,0.9184463550566937
0.24,0.12,0.9039465351242831
0.26,0.13,0.8885823780121725
0.28,0.14,0.8724533217746433
0.30000000000000004,0.15000000000000002,0.8556621870557166
0.32000000000000006,0.16000000000000003,0.8383134271118275
0.3400000000000001,0.17000000000000004,0.8205114063201945
0.3599999999999999,0.17999999999999994,0.8023587721256438
0.3799999999999999,0.18999999999999995,0.7839549744158701
0.3999999999999999,0.19999999999999996,0.7653949729511472
0.41999999999999993,0.20999999999999996,0.7467681591432421
0.43999999999999995,0.21999999999999997,0.7281575044843935
0.45999999999999996,0.22999999999999998,0.7096389353177257
0.48,0.24,0.6912809231369805
0.5,0.25,0.6731442715918081
0.52,0.26,0.6552820759402962
0.54,0.27,0.6377398276811317
0.56,0.28,0.6205556362003288
0.5800000000000001,0.29000000000000004,0.6037605400804833
0.6000000000000001,0.30000000000000004,0.5873788828172452
0.6199999999999999,0.30999999999999994,0.5714287306628966
0.6399999999999999,0.31999999999999995,0.5559223138167992
0.6599999999999999,0.32999999999999996,0.5408664759199113
0.6799999999999999,0.33999999999999997,0.5262631205676932
0.7,0.35,0.5121096471780786
0.72,0.36,0.4983993719359353
0.74,0.37,0.4851219326166699
0.76,0.38,0.4722636788243968
0.78,0.39,0.4598080515250136
0.8,0.4,0.44773595766381113
