wavelength_nm,true,stale,single_pilot,proposed,oracle
1546.0,0.0,0.08333806261858895,0.04066363900943237,0.0,0.0
1546.1,0.0,0.0,0.033970986147962956,0.0,0.0
1546.2,0.0,0.0,0.0,0.0,0.008685801254381955
1546.3,0.0,0.0,0.009454709370915266,0.0,0.0
1546.4,0.0,0.0,0.0,0.0,0.0
1546.5,0.0,0.07938371537159955,0.0,1.4117807966858903e-05,0.006607279659095771
1546.6,0.0,0.08112989191745018,0.041292375515165014,0.05827145486579787,0.004435795699959784
1546.7,0.0,0.0,0.009329641423393412,0.010635873562835577,0.0
1546.8,0.0,0.03459415434151285,0.05410073086687834,0.009538784705222176,0.0
1546.9,0.0,0.05805611409162637,0.04416895156275946,0.023234552371282146,0.0
1547.0,0.0,0.0,0.008967483424580577,0.01929238598100619,0.0025958782274006532
1547.1,0.0,0.06742372130000197,0.0,0.0,0.00765332173828344
1547.2,0.0,0.0,0.004112526826120903,0.027694833056356213,0.0
1547.3,0.0,0.0361592573947125,0.11089493782374267,0.02835757991774277,0.008018196828063274
1547.4,0.0,0.0033689787377627132,0.008667805092966673,0.010594007072569581,0.011256144991916073
1547.5,0.0,0.0,0.03936835142032638,0.005749979530685987,0.0
1547.6,0.0,0.0676256455417473,0.03593009817372839,0.024799188251286818,0.0
1547.7,0.0,0.0,0.0016659323972104637,0.014519978302149359,0.003487475396308101
1547.8,0.0,0.11235863465480286,0.15616723796008744,0.03690636960111358,0.0068499783898190725
1547.9,0.0,0.0021669027760014966,0.02298193367005899,0.0,0.0
1548.0,0.0,0.0,0.0,0.0,0.0
1548.1,0.0,0.0,0.0,0.0,0.0
1548.2,0.0,0.12631661176188283,0.0057590743925573715,0.04376951244817399,0.0
1548.3,0.0,0.1534463938490147,0.012190331500308809,0.01603673299685002,0.0045755206908087345
1548.4,0.0,0.0,0.0,0.017273052487956762,0.002137707329677392
1548.5,3.863114868315178e-292,0.06773543690426838,0.03688500905334411,0.06562706555624893,0.010013959356373298
1548.6,5.299932971468118e-252,0.015323373725312622,0.0,0.0,0.001904389805614729
1548.7,7.735125648051484e-215,0.1456603218055099,0.0392852456589323,0.019945117999579435,0.016286757694509452
1548.8,1.2009601820826304e-180,0.0,0.0071227841134100245,0.0,0.0
1548.9,1.9835999327151413e-149,0.0,0.0002768120054353818,0.014003791700468407,0.008783207705600826
1549.0,3.4853291732798703e-121,0.07287501579900339,0.00609121275156137,0.0,0.004332041445470824
1549.1,6.514750058321684e-96,0.032718128801635125,0.0,0.003958924468674724,0.005263750637493969
1549.2,1.2954359819037537e-73,0.1093530630841568,0.0,0.0,0.0
1549.3,2.7403017842236656e-54,0.0,0.023305279687467966,0.0,0.00532950631219042
1549.4,6.166589960729012e-38,0.0,0.0,0.0,0.0
1549.5,1.4762366728987168e-24,0.04946768408547313,0.0,0.04079506368901076,0.007364979288931186
1549.6,3.759509171848609e-14,0.02954745050026671,0.0011953883336880838,0.0,0.0018174710483832538
1549.7,1.0185223134241412e-06,0.07611463130848571,0.008012528222701206,0.039817788887448,0.0
1549.8,0.029354466198128377,0.1965563310900436,0.15123459864639038,0.052284214458506,0.024725530851663603
1549.9,0.9000002150213774,0.9303951738040739,0.8536386051594067,0.8865975576319949,0.888487272470291
1550.0,0.0619705397524808,0.16181591477616672,0.09900195548696315,0.09935199072706233,0.0778988001333739
1550.1,1.0,1.0,1.0,1.0,1.0
1550.2,0.032616073553467156,0.0,0.0,0.0,0.033641641764826834
