pilot_separation_nm,condition_number,thermal_jacobian_norm,bend_jacobian_norm
1.0,6.449917980111926,0.032303939367574024,0.2072198152288971
1.5,6.0041077239800975,0.03401724213998218,0.1998303715890852
2.0,5.355468538143096,0.035959565010552606,0.1920171230047114
2.5,6.7195277124007875,0.030184431411505747,0.19887675629232807
3.0,5.452669503124638,0.031097566536653343,0.1695647526670519
3.5,6.71091208457065,0.03102001922496697,0.2067717809404929
4.0,6.536365848600491,0.03154561405190066,0.20593273441749982
4.5,5.561005588171381,0.03035850191869948,0.16729592726026984
5.0,5.698751260053652,0.03528277763699845,0.20097278792233947
5.5,6.113538148980173,0.03301415935765844,0.1966020801291079
6.0,5.440586924673744,0.03215930092866049,0.17320281494378392
6.5,6.30386196661364,0.03381527149032347,0.2131616979506356
7.0,6.008286820916747,0.03336171194189399,0.1986679756455488
