3.750703340047213397e-01,3.107110547647464749e-01,2.485453794882132028e-01,2.020447375435315829e-01,1.560260971574032873e-01,1.338740980687512239e-01,1.253524435019172378e-01,1.250939614462151517e-01,1.396731476119613957e-01,1.552040313582145337e-01,1.818367562743840593e-01,2.189955196561255701e-01,2.715024328807010834e-01
3.357970966833065951e-01,2.684570862808072222e-01,2.107085483073977417e-01,1.598862018594860990e-01,1.198966665330132852e-01,9.778466050455880687e-02,9.384210741464593664e-02,9.594713501348886564e-02,9.991175520032108404e-02,1.186426022095781740e-01,1.494521988549505909e-01,1.915870172096940383e-01,2.453484191398888903e-01
2.992569238124326292e-01,2.370197121662884487e-01,1.835981889078412976e-01,1.329419944159101752e-01,9.001704365062324076e-02,7.754755070546322238e-02,6.352032754383972468e-02,6.090446801046840719e-02,7.518097452834979211e-02,9.018786506101514333e-02,1.171800403614746550e-01,1.606696131883758039e-01,2.163716708524254795e-01
2.678957796289018201e-01,2.030022834591579395e-01,1.455543705257392462e-01,1.018045449895538385e-01,7.584720266443142900e-02,5.305016022633410322e-02,4.787990074119103517e-02,4.817784006302494593e-02,5.417858524660143504e-02,6.967155798432217439e-02,1.015097315289704427e-01,1.530618471761524824e-01,2.090372702135437355e-01
2.353219077009792715e-01,1.749174911308427616e-01,1.307133871172648787e-01,8.071536118899411139e-02,5.836151358967542335e-02,3.597699800876121706e-02,3.733949928671091711e-02,3.400682642260469818e-02,4.310344728339837728e-02,5.766480934621327770e-02,9.289874833520211928e-02,1.340148506365071435e-01,2.049966534569016563e-01
2.000275526759465183e-01,1.538859688564337691e-01,1.009242553602384962e-01,6.393447934336769778e-02,4.019712083315633844e-02,2.767027157774087226e-02,3.416855448959137814e-02,3.696624546789950561e-02,3.557156988517665847e-02,5.227987824101887337e-02,8.498253506107755761e-02,1.225026392757956467e-01,1.927438277313838488e-01
1.796267636995691752e-01,1.311154679506624232e-01,9.222193858847584080e-02,5.157630816624098058e-02,3.950127051249811838e-02,3.234426891667291359e-02,3.234023498652498912e-02,2.611035470069111158e-02,3.934928976557677816e-02,4.415442576122172169e-02,8.450082927686042300e-02,1.245841836181964257e-01,1.816185737704233971e-01
1.485967589463101091e-01,1.158409862613983543e-01,8.353750350995453600e-02,5.674474473681664910e-02,3.616693056401065060e-02,3.873351431113820909e-02,3.134781814711294634e-02,3.600113029094156869e-02,4.495464463868036054e-02,5.753445339476340181e-02,9.653622165575426184e-02,1.267778333895506759e-01,1.814373121484310625e-01
1.521622382470235735e-01,1.199771737713173220e-01,8.356501909451469201e-02,6.117802798218411470e-02,4.544268754473217153e-02,4.566561815402938457e-02,3.941734019168908337e-02,3.953102078672214581e-02,4.568881731351161213e-02,7.447368937813209078e-02,1.039695250425998058e-01,1.377056577411230331e-01,1.914038804206984190e-01
1.616009190657028416e-01,1.326148188489383317e-01,1.066986497594974714e-01,8.479622353332569307e-02,6.485495413987969748e-02,5.700918528175158428e-02,4.886898616738985512e-02,6.038784507679514912e-02,6.910561191353314925e-02,9.323638842385384429e-02,1.253465211064333229e-01,1.563344221839816361e-01,2.092436679458982152e-01
1.965850064799891106e-01,1.581949588453119004e-01,1.323608253495343889e-01,1.100498245259158431e-01,8.604628046590494239e-02,7.581447272599742271e-02,7.444091529054785994e-02,7.283136802680055533e-02,9.214122269946029009e-02,1.214593026056599578e-01,1.502319537834580221e-01,1.818712615459887050e-01,2.303305264309103428e-01
2.228228624537708646e-01,1.937593569799574422e-01,1.697607448667250440e-01,1.448206058954596975e-01,1.291354040741478082e-01,1.192317412104030028e-01,1.129733961419041866e-01,1.169443300522239049e-01,1.259651735956365259e-01,1.456013971597939771e-01,1.788658282255468357e-01,2.148728886035554120e-01,2.473428366086732888e-01
2.742142675715332212e-01,2.440024397962637648e-01,2.026018656559328557e-01,1.827619194049362739e-01,1.650321445583839142e-01,1.685298999747853188e-01,1.529021395797641181e-01,1.612469330439894877e-01,1.577308923092423099e-01,1.804862937325520944e-01,2.093523787936023561e-01,2.598495992128871390e-01,2.960754108787348460e-01
