jacobian_fractional_std,mean_reconstruction_error,mean_abs_state_error_sum
0.0,0.05573456619929267,0.01910425447414931
0.0025,0.05755023832590193,0.027658100948983723
0.005,0.05695921518901374,0.02045347910040655
0.01,0.050372282784518475,0.02071224414082773
0.02,0.0710429526606949,0.03815210604176701
0.03,0.05631904302730093,0.02533620016929431
0.05,0.06181526114637884,0.0313257085554632
