dT_C,stale,single_pilot,temperature_bank,proposed_dual_pilot,oracle
-1.5,0.5082851909165536,0.2829300695603409,0.24852873345948304,0.1703328627948146,0.049802514577047444
-1.25,0.43447208201296755,0.26904379110746385,0.24515856688157017,0.13227162173378593,0.04293589680793239
-1.0,0.36703041998301694,0.2591422993161743,0.24775160369909827,0.09530814634089041,0.045380907788968625
-0.75,0.30542312678332495,0.24929230284894835,0.24587636830006454,0.08470100504316785,0.053003467884055556
-0.5,0.2679587363933004,0.2497058201814101,0.2526088886530189,0.07814248202943408,0.05150155583194613
-0.25,0.24629083368969618,0.24907981372588525,0.25828795623418216,0.07147379296306583,0.046544179705324235
0.0,0.2518133538636764,0.24105614424056773,0.2518133538636764,0.06728144061085198,0.04782753563329026
0.25,0.2787336828769498,0.24849216552736822,0.25434793151782303,0.07218898761710502,0.04416929089555472
0.5,0.3310079282584559,0.25575571201576675,0.258987101628785,0.08683320621015685,0.04593244890451407
0.75,0.3875525471682701,0.26645058261079035,0.26634295479330244,0.11953811052388498,0.053294586358261925
1.0,0.4571012291573818,0.2834244910239292,0.2655422103039229,0.14250863885903006,0.048215069248676606
1.25,0.5297718413074604,0.2833811020888516,0.24850099475263365,0.17421272344946465,0.04790940090352389
1.5,0.603248010502711,0.3067211317844249,0.25068793211036855,0.21480900543226086,0.04487101971166722
