frame,true_dT_C,est_dT_C,true_bend_state,est_bend_state,stale_error,proposed_error
0,0.0,0.014536340627506505,0.15307482995803057,0.14439516199751548,0.20902733440161853,0.04846550516996844
1,0.1380623789443165,0.14957460856014748,0.16344861881248102,0.1534940720513845,0.22656632681187064,0.07368622952144083
2,0.2706870060450662,0.27776204956229106,0.1658856635680178,0.15558363175431683,0.2375147300640362,0.07020039306783246
3,0.39280981853984587,0.38684453940660857,0.1615223780334101,0.15116207092804834,0.24040187957519132,0.07380697805886068
4,0.5000865995380465,0.48845237574400147,0.1521945601014057,0.14267389776622785,0.2486603585192791,0.07236383411718189
5,0.5891861110491615,0.5685655956736684,0.14017195877466654,0.13183088987217784,0.25346967544733817,0.08999966690982071
6,0.6580086420632268,0.6302823491359418,0.1278375541436677,0.12072472063710137,0.26910069798759434,0.07789340899157417
7,0.7058139387740591,0.6748437074937054,0.1173550643585397,0.11133811915829847,0.2556443247551487,0.06903823437493134
8,0.7332492003158364,0.696149230525357,0.11036973424076005,0.10416204900913252,0.28360316594700535,0.08198525142319972
9,0.7422752295786785,0.7015140004673751,0.10778291380459798,0.10246692841669269,0.2683523394578147,0.08773857150829936
10,0.7359963755294531,0.6976572590889034,0.10963091633859698,0.10304192044365648,0.27336593788275143,0.06671977083283537
11,0.7184070313140896,0.6811909239897117,0.11508450864660297,0.10799349037917857,0.2643753565350934,0.07041522987450201
12,0.6940736326633912,0.6642123760036047,0.12256904060423812,0.11671567510124609,0.2719452789191856,0.08060527959042711
13,0.6677758754571226,0.6328409892473177,0.12998887564265388,0.12310000241533077,0.25245407442705003,0.0761421171554826
14,0.6441338856880178,0.611720041121108,0.13502564642067522,0.12759828781198246,0.2660296898784391,0.07226803171640067
15,0.6272491060075476,0.6034110719942445,0.1354698408315905,0.12726995459223273,0.25598568826795826,0.07321562193045035
16,0.6203856341359331,0.5914703721039407,0.12954067643127515,0.12205733342999449,0.24527604795552582,0.0701267450953443
17,0.6257157360602741,0.5987020203921706,0.11615076111595189,0.1111497370236051,0.2544341803436899,0.07899303207861054
18,0.6441484846150433,0.6196185601039955,0.09507945705925286,0.09145243257475522,0.23139073884595146,0.05989515926399125
19,0.6752542957592212,0.6466221907350781,0.06703116206760479,0.065574961755424,0.23712172039919133,0.04950273459263555
20,0.717291008930469,0.6886145244400071,0.03357023729513817,0.03274900634041528,0.23917427350443501,0.055758049711763236
21,0.7673296128509568,0.7348974942201106,-0.003059052293311399,-0.0028536801015384794,0.25073889525035864,0.05078440077891551
22,0.8214703137463677,0.7831033844355506,-0.040203704878589076,-0.040148703900798735,0.2733426595780334,0.05422050639677021
23,0.8751329283579089,0.8280102357957412,-0.07512808183876589,-0.07414442761517367,0.3027943249293663,0.062053810636136165
24,0.9234000574548943,0.8651911108413799,-0.10535135133003967,-0.10367411090519364,0.3468050586297801,0.09389919532746624
25,0.9613875667690165,0.8908134687168073,-0.1289511512561812,-0.12507305019763076,0.3844677409669698,0.08770357052205437
26,0.9846148628390622,0.9090517524927357,-0.14479290086617885,-0.13963886434932185,0.3797121706952205,0.1037210616862067
27,0.9893474525192767,0.9125852827389448,-0.15265421672105156,-0.1471517150923858,0.3970441364411267,0.1030788498844593
28,0.9728863168580335,0.9043662809295985,-0.15322803446986216,-0.14768777886705242,0.4056729913371776,0.11211298132923112
29,0.9337825613376628,0.8680917572895286,-0.14800439261203635,-0.14349091051407387,0.38473108974656756,0.1050894466194598
30,0.871961333597598,0.8169747127385714,-0.13904718977535385,-0.1357696186504872,0.3609232351529465,0.08930732810470836
31,0.7887457167497761,0.7469498467408742,-0.12869637457492536,-0.12663217704104368,0.3247790043623975,0.0815484797741066
32,0.6867787131447393,0.6592682661940387,-0.11923605665262411,-0.1181677899924622,0.28441487970973556,0.06408889853443869
33,0.5698489807059144,0.5564298720478564,-0.11257358506308819,-0.11208503686757348,0.23332691767886818,0.041877649551699994
34,0.4426331120396536,0.4328227331469439,-0.1099731108781858,-0.10944249903508119,0.21462452025894488,0.04566624251529859
35,0.3103734268545193,0.31170839193666006,-0.11187974194150185,-0.1114138929133168,0.18263464583226158,0.03445597266114084
36,0.1785150224758926,0.1869267280994215,-0.1178581104459556,-0.1177077927491031,0.1710244848291685,0.042570547210754456
37,0.05232884138880181,0.0659151702047259,-0.12665366862742106,-0.12570808190308302,0.17339542656814763,0.03806542053742855
38,-0.06345145471640246,-0.05052310772575363,-0.13636839920084984,-0.13456903892906488,0.18543070562037783,0.0554429439132521
39,-0.1649520443746445,-0.14642336294404593,-0.14472712175821761,-0.14253007270566054,0.20976395643071946,0.05107171176095868
40,-0.2494171922976347,-0.22710116380478976,-0.1493982890356498,-0.14587304401035914,0.22797298137894872,0.06403653665578231
41,-0.3153842080756407,-0.28881685328049556,-0.14832575793743655,-0.14388806882661712,0.2533988622698556,0.08033475421566674
42,-0.36276232313680146,-0.3363104609167937,-0.1400264908063842,-0.13678632444637043,0.23704359539127653,0.0751579132960208
43,-0.392809818539846,-0.36437587971213725,-0.12381369986934701,-0.12091002972726307,0.20979818897122665,0.0597865970612281
44,-0.4080112824463111,-0.39493128265629057,-0.09991497717220488,-0.09860746458215669,0.1880625775745095,0.046145596185775344
45,-0.41186428191783664,-0.40116014926809773,-0.06946909968642716,-0.06892308659848922,0.16142526120447626,0.039162193209299596
46,-0.40859144976559214,-0.40752629959020276,-0.0344015544365235,-0.03406546771943053,0.14385634767536784,0.028584515778875552
47,-0.40279951545509807,-0.40757604921596674,0.002804816964745665,0.0025613201297772104,0.12807551450236432,0.03193679783717013
48,-0.3991107395543675,-0.40113192778091655,0.03941350949856286,0.0387456746810404,0.13896550368744637,0.03150099442234653
49,-0.4017942524276341,-0.39274184850844834,0.07277181048327164,0.07102458328682666,0.16274177319835656,0.040692177064211445
50,-0.41442479846729885,-0.40427186977682644,0.10063689556706286,0.09723454122951239,0.19494373294031847,0.042555753615350536
51,-0.43959434711944684,-0.42505536812456257,0.1214469754613106,0.11555690007833742,0.21212984310091168,0.041150498208469596
52,-0.4786981026398178,-0.4524966694348263,0.13450131937421878,0.12746898099842685,0.2405341127648025,0.055440322719725106
53,-0.531810917388978,-0.503637815022398,0.1400252758190635,0.1313479420829263,0.2555180198248452,0.05985347230342974
54,-0.5976633985169203,-0.567271117343727,0.13911192513109008,0.13186223047756476,0.2713613141467751,0.058118110153181184
55,-0.6737195931786452,-0.644329472831891,0.13354863568014988,0.125439454003565,0.2782479264310558,0.0579364658338646
56,-0.7563505922040779,-0.7260301207789794,0.1255523107409792,0.11887268883824487,0.29096048932496404,0.056768360439376074
57,-0.8410912660838469,-0.81057227916385,0.11744941030927789,0.11119567722058911,0.3155120495039669,0.0660594642077347
58,-0.9229611688096855,-0.8819363509324817,0.11134425149179,0.10515821725059535,0.3221058308845651,0.06849128405251596
59,-0.9968258728213752,-0.9490968916954394,0.10882063097843545,0.10263079494496834,0.3442325939021284,0.0736777869526392
60,-1.0577719860815131,-1.0038592422806532,0.11071726616082528,0.10403901251330261,0.3752001799261022,0.07707841788027153
61,-1.1014680736124256,-1.0444555075839304,0.11700753243847442,0.10993910485547997,0.38381371618159793,0.0930601451452144
62,-1.124484737065329,-1.0593668954211122,0.12679983696983022,0.11803176030184563,0.40994636340581075,0.09291294339570469
63,-1.1245501206555437,-1.0561370351582786,0.1384586236214736,0.12783585002191633,0.4074913385335323,0.10322287501208609
64,-1.1007218865862192,-1.0231261770113091,0.1498296584387309,0.13724351635601928,0.4158294993172822,0.10495625973426714
65,-1.053462883860752,-0.9825921001515029,0.15853910789666917,0.1442780833984817,0.40153919597033294,0.1007039952350406
