pilot_snr_db,temperature_rmse_C,bend_state_rmse
20,0.04431856007755043,0.00794417947038913
25,0.04181406079392821,0.006532881922917678
30,0.0377006097583985,0.007656376027561551
35,0.028005840966870567,0.0051602038518806514
40,0.03642186966977414,0.006870194823869726
45,0.03575171934492137,0.006146210685923888
