line_separation_nm,valley_to_peak_ratio,relative_error
0.05,42.69079275396289,0.07731779854164658
0.07500000000000001,8.5538396561774,0.08371619484992854
0.10000000000000002,2.1254431789670396,0.08504927769491717
0.12500000000000003,0.5318420939369831,0.1037158666829573
0.15000000000000002,0.14663610093683216,0.09385442281504708
0.17500000000000004,0.05623169415883401,0.09654025890777979
0.20000000000000007,0.024070119262510414,0.09587779800541685
0.22500000000000003,0.021369816289133356,0.08946728665802148
0.25000000000000006,0.013843276832760501,0.09569002345089656
0.2750000000000001,0.028816278582073564,0.09701426445009703
0.3000000000000001,0.05674383153087008,0.10501856551809935
0.32500000000000007,0.033441902144891164,0.10720460751853274
0.3500000000000001,0.0423268100418064,0.09295326298995345
0.3750000000000001,0.03726055772555449,0.09468414130553475
0.4000000000000001,0.036183292106294715,0.09376533955441543
0.4250000000000001,0.028809516674561678,0.08630840224294313
0.4500000000000001,0.028228800973341725,0.08335811858902033
0.47500000000000014,0.029477102850806028,0.09863924663373452
0.5000000000000002,0.048438158843083945,0.12033228151229002
