7.594998411604025890e-01,6.675157058835278212e-01,5.894838586392279201e-01,5.382058060178004366e-01,4.961012818228114352e-01,4.752578133362365120e-01,4.703173574067273099e-01,4.791707342127551339e-01,5.054106731623140281e-01,5.282972738406506163e-01,5.760711127620772309e-01,6.248687756274224903e-01,6.988635022719256185e-01
6.850285112142072697e-01,5.909548083112250438e-01,5.210670826164003344e-01,4.614484953636113218e-01,4.183491982581464264e-01,4.034734812369294987e-01,4.050249791948296041e-01,4.069488598842894156e-01,4.228068760979343255e-01,4.500826024183300911e-01,5.089901523382562853e-01,5.638291721410705337e-01,6.339688794251323589e-01
6.373052299140262722e-01,5.383383851652916441e-01,4.518831624514042522e-01,3.989892871593103685e-01,3.371047815356357780e-01,3.221801934448627613e-01,3.152546930821742421e-01,3.234681944812125565e-01,3.471367842606460918e-01,3.764888465281014396e-01,4.254603903333702419e-01,4.859021555460529829e-01,5.627836827046337476e-01
5.736277712193054157e-01,4.810808918632551445e-01,3.939964766784648242e-01,3.286740471514395523e-01,2.862241956103196983e-01,2.534411727098587752e-01,2.353989706977067664e-01,2.503345601280062560e-01,2.719882870223402360e-01,3.254413412934344940e-01,3.753030097244467456e-01,4.363324600516190199e-01,5.168579990621352538e-01
5.398725504980480538e-01,4.247278968138283872e-01,3.433738507644767401e-01,2.738045620875564357e-01,2.138652017854254517e-01,1.756951327865459433e-01,1.641914881597944520e-01,1.803614816858823966e-01,2.095758995827853299e-01,2.628264559477085927e-01,3.210985950863183280e-01,3.896909480532764203e-01,4.822816539758973953e-01
4.867146267891637734e-01,3.966386887337485789e-01,2.992194060967355851e-01,2.304199040326123660e-01,1.520510822463513323e-01,1.079169283049283695e-01,8.860614719257786653e-02,1.064717363237234204e-01,1.642836172368307146e-01,2.167801540976115882e-01,2.860075601468154982e-01,3.568064529494235915e-01,4.550821479148371429e-01
4.783032653701038139e-01,3.759972235257877937e-01,2.897226937113922540e-01,2.066325685024389125e-01,1.335660910330604967e-01,7.853699896674118386e-02,3.259629037436419935e-02,7.561117927250135540e-02,1.383707679657240897e-01,2.021631324487887515e-01,2.713299257170737055e-01,3.534784301600205625e-01,4.306506379678344820e-01
4.664052845318399365e-01,3.819048709870400682e-01,2.913105174909530470e-01,2.247063880608163311e-01,1.633075290008496050e-01,1.116580632822258279e-01,8.586449226447831484e-02,1.105886008749725757e-01,1.508428506665439039e-01,2.036720879500264203e-01,2.823125580830439518e-01,3.566110153524698623e-01,4.384301686852225544e-01
4.952146356308694264e-01,4.032450248107894986e-01,3.330754086328074903e-01,2.689763572448233830e-01,2.206486014118664296e-01,1.811986309232265779e-01,1.614483913284556482e-01,1.709580292571410420e-01,2.004849864657395342e-01,2.452447446217629057e-01,3.022128443842689860e-01,3.710675305097597132e-01,4.502774223754224536e-01
5.322043816807559002e-01,4.525210157306636116e-01,3.883308767837867492e-01,3.252642726397093620e-01,2.900477550467964738e-01,2.541600929246334850e-01,2.409175076033310547e-01,2.565885057002068592e-01,2.621134608815984812e-01,3.098773682726144729e-01,3.551697074072133198e-01,4.165068881412784529e-01,4.922245375280535629e-01
5.967711513328731732e-01,5.214924889397244412e-01,4.522124566360808950e-01,4.103288101672980526e-01,3.621784158483045690e-01,3.397126803672819717e-01,3.247012314175005132e-01,3.188042062268688914e-01,3.544123523319093749e-01,3.772089987684401624e-01,4.295953240521853678e-01,4.771250012743998292e-01,5.534181734148535536e-01
6.344784509729490818e-01,5.864142766792039829e-01,5.331752578831320255e-01,4.876300544397055292e-01,4.613036715918507613e-01,4.262949726496498837e-01,4.182011464473904816e-01,4.188525989038431874e-01,4.386952310788206910e-01,4.628861227947213552e-01,5.046016618160734657e-01,5.679678103649938858e-01,6.243283938259985844e-01
7.340625859270173414e-01,6.764909277583024405e-01,6.051198254591132475e-01,5.767552352878033695e-01,5.386403774862777993e-01,5.280756500791176089e-01,5.061476597017897650e-01,5.157671431486805513e-01,5.253825809095333810e-01,5.652152412905955270e-01,5.961904166868586818e-01,6.586859425296116566e-01,7.253730183878499549e-01
