bend_state,curvature_equiv_m-1,stale,single_pilot,temperature_bank,proposed_dual_pilot,oracle
-0.3,-0.15,0.47173028220188384,0.46174943648833,0.45270509883355253,0.18030778020941268,0.04995346984585385
-0.25,-0.125,0.4041761379081399,0.3782662839608457,0.3690372115211838,0.13699026008364662,0.05201297000264162
-0.2,-0.1,0.3546637593038616,0.310330721007432,0.30206604982047336,0.11081804842868427,0.05046092136470456
-0.15,-0.075,0.3062394367135072,0.24052018810351475,0.2314021160197695,0.0857560934808627,0.04789765471251234
-0.1,-0.05,0.27866134699054385,0.16865226441554274,0.15827661527811324,0.07337616232144589,0.047679673641172884
-0.05000000000000002,-0.02500000000000001,0.24907514377822626,0.10216797455591646,0.08783382964350807,0.06769819531747835,0.04694336029565527
0.0,0.0,0.2589947886183697,0.07071841632055492,0.05250431040322346,0.07105831330847773,0.0503899789678874
0.04999999999999999,0.024999999999999994,0.2902229038698392,0.1079111909360343,0.10260149506241656,0.07002047661367045,0.04526498617287797
0.09999999999999998,0.04999999999999999,0.34422412497993016,0.1834533159231358,0.17992917207225093,0.0903293947538991,0.04612184354530144
0.14999999999999997,0.07499999999999998,0.40156964785964994,0.2675635040086001,0.2642015302575263,0.12124050022319491,0.045653436090289164
0.19999999999999996,0.09999999999999998,0.47306044510561207,0.3503417176902274,0.35305487952223363,0.1584067438509319,0.0476014878967749
0.24999999999999994,0.12499999999999997,0.5441128953908156,0.4253957180801336,0.42662101897497523,0.19070435891749468,0.04840174715132084
0.3,0.15,0.6259420690791075,0.5164056727031396,0.5129208200316987,0.2516039702877145,0.046742170608428404
