wavelength_nm,corr_to_1550
1546.0,0.033418200448432134
1546.1,0.14738182091015756
1546.2,-0.13705902874647966
1546.3,0.24388835221521235
1546.4,0.12936381220047644
1546.5,0.02504728217916032
1546.6,0.20900349892620018
1546.7,0.0880165346081144
1546.8,0.2466129633240744
1546.9,0.11977943649991873
1547.0,0.08081898250399537
1547.1,0.22784362374208525
1547.2,-0.029738296116447894
1547.3,0.05574266702734398
1547.4,-0.041142158673983645
1547.5,0.21489117214047032
1547.6,-0.06622803487328727
1547.7,0.005380295698554576
1547.8,0.048286303418244865
1547.9,0.05386797927622449
1548.0,-0.0675660725539777
1548.1,-0.07070846286779629
1548.2,0.034888891935611954
1548.3,0.055543618106692026
1548.4,0.02235530106727578
1548.5,-0.10369977925194432
1548.6,0.031610349136172354
1548.7,0.08796955861701695
1548.8,0.17028048696970918
1548.9,0.023368731434466473
1549.0,-0.10174170041962907
1549.1,-0.06989726596494401
1549.2,0.0011941504594172128
1549.3,-0.007598605888146322
1549.4,0.12173734776426111
1549.5,0.022564363977224007
1549.6,-0.06488461754252577
1549.7,0.19250823112375268
1549.8,0.007608142710319395
1549.9,0.1696629191083715
1550.0,0.9999999999998367
1550.1,-0.03201835497909014
1550.2,0.12051444584328042
1550.3,0.13278046433852073
1550.4,0.05932972455564256
1550.5,-0.05217899197928128
1550.6,-0.052843582156929414
1550.7,0.1071823192947156
1550.8,0.0751324683106244
1550.9,0.03915434569812012
1551.0,0.19062456651808563
1551.1,-0.027193619314036074
1551.2,-0.033518709125524244
1551.3,0.16928143649262012
1551.4,-0.09285205364396215
1551.5,0.10988126014762199
1551.6,0.1406292618870714
1551.7,0.015183507432524323
1551.8,0.09261799788990899
1551.9,-0.005838170222366769
1552.0,-0.1444511375689896
1552.1,0.0006958121267673278
1552.2,0.02871846761154247
1552.3,0.059784309761993296
1552.4,0.23302078838478393
1552.5,0.03865678174645252
1552.6,0.2313855977540099
1552.7,0.08990360597094112
1552.8,-0.1526397231355177
1552.9,0.1031680348039029
1553.0,0.08629580320979258
1553.1,-0.13625564831323245
1553.2,0.1353965381624504
1553.3,0.03403574319995346
1553.4,-0.04043638804493191
1553.5,0.08734520054639724
1553.6,0.051784314087191065
1553.7,0.05977942779554148
1553.8,-0.024990705210277644
1553.9,0.11170791446435087
1554.0,0.056991412478202615
